State,County,FIPSCodes,Diabetes,LeisureInactivity,Obesity
Florida,Madison,12013,14.2,29.5,35.7
Florida,Manatee,12015,11.9,24,25
Florida,Marion,12017,12,28,31
Florida,Martin,12019,9,20.2,20.9
Florida,Miami-Dade,12021,8.4,21.1,21
Florida,Monroe,12023,7.5,17.5,19.7
Florida,Nassau,12027,9.6,23.3,26.8
Florida,Okaloosa,12029,9.7,22.8,28.8
Florida,Okeechobee,12031,11.1,31.9,33.7
Florida,Orange,12033,8.9,23.4,25.2
Florida,Osceola,12035,9.8,26.5,29.2
Florida,PalmBeach,12037,9.3,22.2,22.4
Florida,Pasco,12039,11.7,27.8,28.6
Florida,Pinellas,12041,11.4,20.3,24
Florida,Polk,12043,12.4,25.5,30.7
Florida,Putnam,12045,14.5,33.3,33.1
Florida,Stjohns,12047,8.1,17.1,23
Florida,Stlucie,12049,13.4,24.7,29.8
Florida,Santarosa,12051,10.1,24.3,28.2
Florida,Sarasota,12053,10.3,19.7,20.6
Florida,Seminole,12055,11,20.7,25.3
Florida,Sumter,12057,14.5,20.1,28.9
Florida,Suwannee,12059,12.7,28.8,31.6
Florida,Taylor,12061,13.7,32,36.5
Florida,Union,12063,13.3,30.3,37.9
Florida,Volusia,12065,12.6,26.9,27.3
Florida,Wakulla,12067,11.7,27.5,37.1
Florida,Walton,12069,10.6,26.2,27.2
Florida,Washington,12071,14.1,30.1,37.3
Georgia,Appling,12073,15.1,29.3,34.7
Georgia,Atkinson,12075,11.3,31.7,34.2
Georgia,Bacon,12077,11,32.1,31.8
Georgia,Baker,12079,14.4,29.2,31.9
Georgia,Baldwin,12081,11.6,29.2,31.8
Georgia,Banks,12083,11.3,29.5,28.1
Georgia,Barrow,12085,11.2,30.8,32.9
Georgia,Bartow,12086,10.8,26.1,31.6
Georgia,Benhill,12087,14.4,32.2,35
Georgia,Berrien,12089,12.3,34.4,32.4
Georgia,Bibb,12091,10.9,27.6,28.6
Georgia,Bleckley,12093,13.9,27.4,31.5
Georgia,Brantley,12095,11.1,25.1,31.8
Georgia,Brooks,12097,15.5,30.2,35.1
Georgia,Bryan,12099,10.6,24,27
Georgia,Bulloch,12101,10.6,24.4,32.5
Georgia,Burke,12103,13.1,28.6,32.6
Georgia,Butts,12105,12.3,29.1,32.5
Georgia,Calhoun,12107,12.3,28.2,33.1
Georgia,Camden,12109,10.9,23.6,31.5
Georgia,Candler,12111,12.1,29.7,32.6
Georgia,Carroll,12113,12.4,27,30.6
Georgia,Catoosa,12115,12.3,30.2,30.2
Georgia,Charlton,12117,11,28.1,32.2
Georgia,Chatham,12119,10.2,23.7,27.9
Georgia,Chattahoochee,12121,7.1,26.9,30.7
Georgia,Chattooga,12123,12.4,27.5,34.6
Georgia,Cherokee,12125,9.9,22.5,26.2
Georgia,Clarke,12127,9.8,24.7,26.5
Georgia,Clay,12129,16.9,31.1,32.7
Georgia,Clayton,12131,10.6,25.8,37.5
Georgia,Clinch,12133,12.8,29.6,32.3
Georgia,Cobb,13001,8.9,19.4,22.3
Georgia,Coffee,13003,11.5,33.4,32.2
Georgia,Colquitt,13005,12.6,30.4,32.1
Georgia,Columbia,13007,9.5,23.4,26.2
Georgia,Cook,13009,13.3,28.1,29.3
Georgia,Coweta,13011,10.5,25.9,28
Georgia,Crawford,13013,13,29.5,31
Georgia,Crisp,13015,14.2,32.6,33.1
Georgia,Dade,13017,11.8,27.9,31
Georgia,Dawson,13019,10.9,23.9,28.3
Georgia,Decatur,13021,13.2,29.1,33.1
Georgia,DeKalb,13023,8.9,19.6,26.4
Georgia,Dodge,13025,14.6,30.8,32.3
Georgia,Dooly,13027,13.8,31.2,33.4
Georgia,Dougherty,13029,12.4,27.5,36.8
Georgia,Douglas,13031,11.6,25.4,33.3
Georgia,Early,13033,13.4,30.5,29.8
Georgia,Echols,13035,10.2,27.7,29
Georgia,Effingham,13037,10.4,26.1,33
Georgia,Elbert,13039,14.1,30,33.8
Georgia,Emanuel,13043,11.6,28.5,31.8
Georgia,Evans,13045,14,30.6,35.4
Georgia,Fannin,13047,13.8,25.6,27.9
Georgia,Fayette,13049,10.9,21.9,27.1
Georgia,Floyd,13051,10.9,28.9,28
Georgia,Forsyth,13053,10.4,16.9,24.9
Georgia,Franklin,13055,11.6,31.6,26.1
Georgia,Fulton,13057,8,18.4,21.8
Georgia,Gilmer,13059,12.2,27.5,28.9
Georgia,Glascock,13061,12,28.6,30.1
Georgia,Glynn,13063,10,28.6,27.8
Georgia,Gordon,13065,10.5,22.2,28.5
Georgia,Grady,13067,12.3,30.3,32.7
Georgia,Greene,13069,15.3,30.3,29.9
Georgia,Gwinnett,13071,7.4,20.2,27.1
Georgia,Habersham,13073,11.3,29.1,28.9
Georgia,Hall,13075,11.6,23,26.1
Georgia,Hancock,13077,15.9,28.3,37
Georgia,Haralson,13079,12,28,29.1
Georgia,Harris,13081,14.1,21.1,28.7
Georgia,Hart,13083,11.7,24.9,30.1
Georgia,Heard,13085,11.8,27.8,29.3
Georgia,Henry,13087,10.4,23.6,30.3
Georgia,Houston,13089,11.2,25.2,32.4
Georgia,Irwin,13091,12.2,25.8,30.9
Georgia,Jackson,13093,8.9,25.9,28.5
Georgia,Jasper,13095,11.6,28.8,29.4
Georgia,Jeffdavis,13097,12.5,29.7,28.4
Georgia,Jefferson,13099,14,27.6,38.1
Georgia,Jenkins,13101,13.4,28,31.7
Georgia,Johnson,13103,12.6,30.8,31.7
Georgia,Jones,13105,13.1,28.4,31.7
Georgia,Lamar,13107,12.1,28.7,34.3
Georgia,Lanier,13109,11.3,26.9,31.8
Georgia,Laurens,13111,12.7,29.1,34.9
Georgia,Lee,13113,11.6,25.3,31.8
Georgia,Liberty,13115,10.2,28.5,32
Georgia,Lincoln,13117,13.4,30.6,33.4
Georgia,Long,13119,10,26.1,29.3
Georgia,Lowndes,13121,10.6,28.4,29.3
Georgia,Lumpkin,13123,9.5,22.6,29.3
Georgia,McDuffie,13125,15.8,29.9,34.8
Georgia,McIntosh,13127,13.7,29.9,31.1
Georgia,Macon,13129,13.6,29,33.8
Georgia,Madison,13131,11.6,27.7,30.9
Georgia,Marion,13133,14.3,32.6,32.7
Georgia,Meriwether,13135,12.8,31.4,32.8
Georgia,Miller,13137,13.8,35.4,31.6
Georgia,Mitchell,13139,12.7,31.8,31.7
